altitude,None
enhanced_altitude,m
speed,None
enhanced_speed,m/s
distance,m
heart_rate,bpm
timestamp,None
position_lat,semicircles
position_long,semicircles
lat_intrp,semicircles
long_intrp,semicircles
speed_intrp,m/s
elpsd_time,seconds
